03			
S51	38		
01b40708a424584853c46d887afc39d5d2eba542d9d89a3dc12a480e8b80f667			
01	f5df64da676be2a3271019e4b0ed7d5bb4b135af22ff6226ad14a642a39828cb	04	50
02	b3349b7d11d56392f7f4b9643985e475712a2bc677f4aefba5db20d05b227f84	0d	50
03	4f3d16426ac22dd78e360013a6d833a49e76ef6508e810da933a8495772e509a	13	50
04	ab7013293cf9f8cf82824c3f74cea82a0757f694dae18109288b53c9b6d04bbb	16	50
05	2428f6455433c982315134cab92277aa4501409a69620c335e73daccb271b891	29	50
06	b194c945b7be88dda26cc75abbab7054d34995b61b8923288f35903a8eeeea06	2e	50
07	1e41caf0a1a2275f5b49e6f0cda02ddcf68080cb3d9e27c8cfc56c418906c32c	31	50
08	70e3aae0fd28ba8b1eaf6d5923f79f0531cb679e9f650ec82193e2fcbd569b5c	37	50
09	76394f1fd3987cfabe1ccfeb2a268ab6d1c5bd54ccf9a3baa048c2170b8352d3	45	50
10	4eece23697ebbc5090ebce05d83b8f8ba6f54db3cabba835e7a6c0456884a7c0	4e	50
11	7c1645cc9adde458f28a5ffdd1b159d2e7d6856543a0330ccb89adb12f8591ec	51	50
12	efc758f830ac84cdb49b97dec6d99d9870cbeef1fb8450e0730a8d51fefc0bac	56	50
13	1b3122356c2e32c312597a5ad2b4e647f8e3f54f40087e069a88d666cea6a892	63	50
14	f9ae78b4ea547143f3ea9991b9f912f520edc4fd012d9f5a9876a62ad867f4b0	6a	50
15	86b3194c8c6b0a949d9d91e539d1e8294be5fcc11dad0fe10da52574c0ab4a1f	7b	50
16	629a2f98057b857dc7ef6b2d5502d50eac66727b47c8ee03dff4a22332bdefdc	7c	50
17	7f335a3c6bdd4700a338683cdaee8bfe80978396c1131a50bca4e72f8c64ccd4	87	50
18	9adfe60cec54f212077d875e9a614f0b78238c3ea629359892cb4a3ffc2d447c	88	50
19	39a91e8e3c39c550637501a5f0117f9c49d733477b1735d849ad5c2a8973fd87	8b	50
20	3026852a9e6436a348936603494dd5a56fd744259669a1f7aa048da485c66a22	91	50
21	de89d44b761cf7c831b617219a5782ba0c17b56811842e33fda68fbb83b62440	9c	50
22	f3e68223ffa3fc7aa17973866cb5d2e7f192699ae845700d53c26dce032caf1e	9f	50
23	a4e60794be8b4fbab3ce5fe0886dcb8bf2bbd26b5a63c3502ca6cac8a00a6331	a3	50
24	2c886daea33226e0f53a5bedd548dc20933bf9edbf7e4b41fc93d4c612800e50	a5	50
25	d46cb59f0f7dbc76620c82c853821856ab8e7f1105942a39b64646b151746cfb	a7	50
26	5bc336bfd686821e44cab8e4aa227790a2ad189cb142dda05d883115934bd29a	b4	50
27	e84bbd8df6af3dab7315cce9a14117db48a7b29e5dc8bec15cfadc27b0f6763a	b7	50
28	81fa8781eb4cb692915b5754f6eef4556ea9f53a9b295bdf01c582df3d0e5453	b9	50
29	37b8bf2a591a43c2548593aa93d678226d1317f6449d9020020f1e27f164f5e6	c1	50
30	44b73aab11ae8e652ac56467b8a70cdd838bda0d2c38cd75489c075e4821fa59	cf	50
31	abb189e38c0ee1221613d65c88736540df56268f431b6c32dfdd3794a11b1894	d2	50
32	36b363dc9b9137e8550209d32376b10d5484339051fc71d9e6dc411f5e2c64ea	de	50
33	8a4e1e80c3dc44c36a5541b0be67b71b24cb09cd8b0672bceba17d23810d6493	e7	50
34	c21fce443cd20f648058f530834c581635ef5a2e7f7cadd48967023d8313a760	ec	50
35	dee62b5aefd1c600aa8f7f9c3a93259d4fa56b9bb74274e8b1f9e9a88fcdd697	ee	50
36	c1e2a12d104c29c48e3ff38b8dab2c77db9a2bc864007dcff2f62bec447dc8eb	f0	50
37	4a3290fbe6a3bfa2204a8c676c0c4a01e201c5e409aef56e8cf98e1061dbac38	f6	50
38	f42c412b2976a4a23422d2edd7e6dc258b5de03f3b50ccc725554935a9b67d30	fe	50
abcdac23 d2 100
